	bawang daun	bawang merah	bawang putih	bayam	blewah	buncis	cabai besar	cabai rawit	jamur	kacang merah	kacang panjang	kangkung	kembang kol	kentang	ketimun	kubis	labu siam	lobak	melon	paprika
Kabupaten Cilacap	1.875	0	0	5.077108434	0	2.133333333	2.120264317	2.117894737	7.329611041	0	1.523544974	4.365551839	1.2	0	1.661403509	0	0	0	0	0
Kabupaten Banyumas	0	8.42	0	5.34	0	4.13559322	2.566891892	8.031818182	1.609202667	1	2.805803571	5.579245283	0	0	6.185981308	30	0.4	0	0	0
Kabupaten Purbalingga	14.16901408	0	0	0.823076923	0	8.045454545	2.499264706	2.969230769	0	0	3.174534161	3.049090909	5.164516129	18.01315789	2.857831325	18.31184211	0	0	0	0
Kabupaten Banjarnegara	7.215490319	0	0	1.389655172	0	7.582029598	7.881749049	10.75855995	0.560185444	1.1445	9.681439394	9.557142857	0	15.66328383	8.565217391	25.76167638	32.00540541	0	0	0
Kabupaten Kebumen	0	7.95	0	1.715454545	0	0.133333333	5.411284047	2.98539823	0.320641509	0	7.198214286	20.92121212	0	0	7.473913043	0	0	0	5.00877193	0
Kabupaten Purworejo	0	1.5	0	1.123636364	0	0	2.871536524	3.357222222	12	0	2.16440678	5.764705882	0	0	1.362857143	0	0	0	25.62094862	0
Kabupaten Wonosobo	11.18867457	4.4	4.9625	0	0	9.702160494	6.494947252	3.196254355	0.359697552	1.733110368	5.257857143	3.133333333	10.45406699	15.50034975	10.99230769	17.40677966	281.8706897	0	0	0
Kabupaten Magelang	9.901937984	4.497727273	4.338709677	3.053333333	0	5.87416318	6.65262579	5.760810811	0	1.733333333	7.749214027	4.766666667	10.34612634	16.41534091	10.52917889	19.03089713	55.02608696	0	16.4	0
Kabupaten Boyolali	9.098640777	10.97339642	0	6.803597122	0	20.18365385	11.17340426	12.45095517	2.337893342	0	3.476470588	14.69189189	7.982096584	14	6.612857143	13.48367911	134.6843373	0	20.5725	0
Kabupaten Klaten	0	0	0	0.397058824	0	0	2.182957393	1.737310924	0.201549133	0	3.588888889	0.275	0.672222222	0	6.472131148	0.809090909	0.7	0	11.31206897	0
Kabupaten Sukoharjo	0	7.316666667	0	0	0	0	7.444186047	0.5	0	0	12.35714286	0	0	0	14.72222222	0	0	0	24.924	0
Kabupaten Wonogiri	8.215789474	10.41020408	6.522222222	4.473737374	0	8.672413793	11.13542857	8.845994065	1.149680275	4.42	7.604761905	5.642696629	6.788888889	12.35833333	8.248717949	9.82244898	9.6375	0	19.76813187	7.8
Kabupaten Karanganyar	9.107368421	8.923076923	14.2	1.841666667	0	5.990789474	4.927706422	4.251977401	1.8122121	0	5.315217391	13.53	7.11814346	9.8	11.54794521	20.41313869	16.30357143	0	16.15128205	0
Kabupaten Sragen	0	8.732919255	0	0	0	0	7.385761589	1.318823529	1.292063492	0	4.985915493	1.38	0	0	3.173333333	0	0	0	27.47903226	0
Kabupaten Grobogan	0	9.46642984	0	3.080620155	16.8	0	4.502953586	5.862419006	0	0	3.457718121	7.062820513	0	0	4.851724138	0	0	0	19.88324515	0
